Stratno | Stratigraphic Name | Entity Number | Province Name 
29528|Narwietooma Metamorphic Complex|467256|Arunta Orogen
26072|Nathan Group|512264|McArthur Basin
13949|Neave Sandstone|467208|Birrindudu Basin
24427|Newhaven Shale Member|22113|Ngalia Basin
24428|Newlands Volcanics|468041|Davenport Province
31355|Ngadarunga Granite|467256|Arunta Orogen
24429|Ngalurbindi Orthogneiss|467256|Arunta Orogen
42368|Nguman Metamorphics|364772|Warumpi Province
42368|Nguman Metamorphics|467256|Arunta Orogen
14123|Nicholson Granite Complex|556523|Mount Isa Orogen
22550|Nicker beds|467256|Arunta Orogen
25343|Nimbuwah Complex|512263|Pine Creek Orogen
72397|Nimbuwah Complex - migmatite|512263|Pine Creek Orogen
14166|Ningbing Group|21914|Bonaparte Basin
14166|Ningbing Group|22075|Petrel Sub-basin
41951|Nolans Dam Metamorphics|467256|Arunta Orogen
25346|Nome Formation|21914|Bonaparte Basin
25346|Nome Formation|26965|Malita Graben
25346|Nome Formation|28315|Vulcan Sub-basin
25346|Nome Formation|28590|Sahul Platform
25346|Nome Formation|33446|Londonderry High
23881|Nourlangie Schist|512263|Pine Creek Orogen
42398|Nyirripi beds|364771|Aileron Province
42398|Nyirripi beds|467256|Arunta Orogen
28161|Old Hamilton Downs Gneiss|467256|Arunta Orogen
14550|Oliver Formation|21914|Bonaparte Basin
14550|Oliver Formation|26965|Malita Graben
14550|Oliver Formation|28315|Vulcan Sub-basin
14550|Oliver Formation|28450|Ashmore Platform
14550|Oliver Formation|28590|Sahul Platform
14550|Oliver Formation|33446|Londonderry High
