Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
35287|Halfway Gneiss|underlies|74796|Biddenew Formation|unconformity|
27203|Mount Augustus Sandstone|overlies|74796|Biddenew Formation||
74795|Spring Camp Formation|overlies|74796|Biddenew Formation||
23635|Grants Patch Group|overlies|23383|Big Dick Basalt|not specified|
16869|Siberia Komatiite|underlies|23383|Big Dick Basalt|not specified|
16839|Shoal Reach Formation|underlies|41376|Big Knob beds|unconformity|
17153|Spencer Sandstone|underlies|41376|Big Knob beds|unconformity|
8469|Hooper Complex|underlies|74174|Big Spring Formation|unconformity|
25744|Pillara Limestone|overlies|74174|Big Spring Formation|conformity|grades into
735|Athol Formation|underlies|23384|Biggada Formation|not specified|
5507|Dingo Claystone|overlies|23384|Biggada Formation|not specified|
25888|Dupuy Formation|overlies|23384|Biggada Formation|not specified|
25647|Woodrarrung Sandstone|overlies|1625|Bililly Formation|conformity|
26501|Coyrie Formation|overlies|1639|Billidee Formation|not specified|
8958|Jimba Jimba Calcarenite|underlies|1639|Billidee Formation|conformity|
12179|Moogooloo Sandstone|underlies|1639|Billidee Formation|not specified|
13455|Mungadan Sandstone|underlies|1705|Binthalya Formation|not specified|
13315|Muderong Shale|overlies|1720|Birdrong Sandstone|conformity|
20198|Windalia Radiolarite|overlies|1720|Birdrong Sandstone|conformity|
1491|Bentley Supergroup|overlies|29906|Birksgate Complex|unconformity|
488|Antrim Plateau Volcanics|overlies|1735|Birrindudu Group|unconformity|
1242|Bastion Group|is equivalent to|1735|Birrindudu Group||
30280|Browns Range Metamorphics|underlies|1735|Birrindudu Group|unconformity|
10414|Limbunya Group|overlies|1735|Birrindudu Group|conformity|
14869|Pargee Sandstone|underlies|1735|Birrindudu Group|unconformity|
15983|Redcliff Pound Group|overlies|1735|Birrindudu Group||
26900|Slatey Creek Granite|underlies|1735|Birrindudu Group|not specified|
17763|Tanami Group|underlies|1735|Birrindudu Group|unconformity|
18275|Tolmer Group|is equivalent to|1735|Birrindudu Group||
14567|Olympio Formation|overlies|1737|Biscay Formation|conformity|
26135|Saunders Creek Formation|underlies|1737|Biscay Formation|conformity|
36951|Coppin Gap Granodiorite|is intruded by|39507|Bishop Creek Monzogranite||
39504|Joorina Granodiorite|is intruded by|39507|Bishop Creek Monzogranite||
39505|Kennell Granodiorite|is intruded by|39507|Bishop Creek Monzogranite||
38010|Moolyella Monzogranite|intrudes|39507|Bishop Creek Monzogranite||
41377|Mullugunya Granodiorite|is intruded by|39507|Bishop Creek Monzogranite||
41378|Munganbrina Monzogranite|is intruded by|39507|Bishop Creek Monzogranite||
39502|Zulu Granodiorite|is intruded by|39507|Bishop Creek Monzogranite||
3647|Carnegie Formation|overlies|1758|Bitter Springs Formation|not specified|
5300|Dean Quartzite|underlies|1758|Bitter Springs Formation|not specified|
8225|Heavitree Quartzite|underlies|1758|Bitter Springs Formation|not specified|
26586|Golden Mile Dolerite|underlies|28372|Black Flag Group|not specified|
26647|Kalgoorlie Group|underlies|28372|Black Flag Group|not specified|
26677|Kurrawang Formation|overlies|28372|Black Flag Group|unconformity|
28110|Merougil Conglomerate|overlies|28372|Black Flag Group|unconformity|
26833|Paringa Basalt|underlies|28372|Black Flag Group|unconformity|
25260|Moonlight Valley Tillite|overlies|1807|Black Point Sandstone Member|unconformity|
16839|Shoal Reach Formation|underlies|1807|Black Point Sandstone Member|unconformity|
17153|Spencer Sandstone|underlies|1807|Black Point Sandstone Member|unconformity|
8205|Headleys Limestone|overlies|1854|Blackfella Rockhole Member|disconformity|
25905|Fargoo Tillite|underlies|27109|Blackfellow Creek Sandstone|disconformity|
25260|Moonlight Valley Tillite|overlies|27109|Blackfellow Creek Sandstone|conformity|or unconformity.
9923|Kuriyippi Formation|underlies|77450|Blacktip Member|unconformity|
1758|Bitter Springs Formation|overlies|1931|Blatherskite Quartzite Member|conformity|
27136|Culvida Sandstone|underlies|25793|Blina Shale|not specified|
6256|Erskine Sandstone|overlies|25793|Blina Shale|conformity|
25997|Liveringa Group|underlies|25793|Blina Shale|unconformity|
27196|Millyit Sandstone|underlies|25793|Blina Shale|disconformity|
26080|Noonkanbah Formation|underlies|25793|Blina Shale|not specified|
27250|Wallal Sandstone|overlies|25793|Blina Shale|not specified|
29414|Dixon Range beds|is equivalent to|36765|Bloods Range Formation||
12780|Mount Harris Basalt|underlies|36765|Bloods Range Formation|not specified|
33811|Puntitjata Rhyolite|underlies|36765|Bloods Range Formation|conformity|
23483|Cheyne Springs Formation|overlies|32054|Blue Billy Formation|conformity|
34910|Gooragoora Formation|underlies|32054|Blue Billy Formation|not specified|
8786|Irregully Formation|underlies|32054|Blue Billy Formation||
27174|Kiangi Creek Formation|overlies|32054|Blue Billy Formation|not specified|
8684|Indulkana Shale|underlies|1988|Blue Hills Sandstone|conformity|
19137|Virgin Hills Formation|is interbedded with|2055|Bobs Bore Conglomerate||
75575|Jawilga beds|underlies|75576|Boee beds|not exposed|
15983|Redcliff Pound Group|is equivalent to|75576|Boee beds||
11862|Milligans Formation|overlies|2161|Bonaparte Formation|unconformity|
25928|Goldwyer Formation|underlies|23405|Bongabinni Formation||
19508|Warrawoona Group|is intruded by|2189|Boobina Porphyry||
4067|Cistern Formation|underlies|70133|Bookingarra Formation|not specified|
698|Ashburton Formation|is intruded by|2216|Boolaloo Granodiorite||
26271|Kungarra Formation|overlies|2227|Boolgeeda Iron Formation|conformity|
18702|Turee Creek Group|overlies|2227|Boolgeeda Iron Formation||
29565|Woongarra Rhyolite|underlies|2227|Boolgeeda Iron Formation|conformity|
31270|Douri Sandstone|overlies|2250|Boonall Dolomite|conformity|
6117|Elvire Formation|underlies|2250|Boonall Dolomite|not specified|
33754|Disappointment Group|overlies|23409|Boondawari Formation|not specified|
11539|McFadden Formation|overlies|23409|Boondawari Formation|unconformity|
23849|Mundadjini Formation|underlies|23409|Boondawari Formation|not specified|
33753|Sunbeam Group|underlies|23409|Boondawari Formation|not specified|
8075|Hardey Formation|underlies|2261|Boongal Formation|conformity|
34040|Kylena Formation|is equivalent to|2261|Boongal Formation||
15703|Pyradie Formation|overlies|2261|Boongal Formation|conformity|
1758|Bitter Springs Formation|underlies|2275|Boord Formation|not specified|
3647|Carnegie Formation|overlies|2275|Boord Formation|not specified|
3647|Carnegie Formation|underlies|2275|Boord Formation|not specified|
6108|Ellis Sandstone|overlies|2275|Boord Formation|not specified|
77197|Cape Burney Sandstone Member|underlies|77196|Bootenall Limestone Member|disconformity|
69780|Lander Rock Formation|is intruded by|28156|Boothby Orthogneiss||
2645|Broome Sandstone|underlies|25804|Borda Sandstone|not specified|
15034|Pender Bay Conglomerate|underlies|25804|Borda Sandstone|not specified|
6577|Fenelon Formation|underlies|2312|Borde Formation||
25092|Johnson Formation|overlies|2312|Borde Formation||
3168|Burt Range Formation|underlies|2314|Border Creek Formation|disconformity|
26849|Point Spring Sandstone|underlies|2314|Border Creek Formation|not specified|
16758|Septimus Limestone|underlies|2314|Border Creek Formation|disconformity|
21089|Zimmermann Sandstone|underlies|2314|Border Creek Formation|disconformity|
17763|Tanami Group|is intruded by|42072|Borefield Road Suite||
2645|Broome Sandstone|underlies|28391|Bossut Formation|not specified|
6911|Frezier Sandstone|underlies|28391|Bossut Formation|not specified|
26095|Parda Formation|underlies|28391|Bossut Formation|not specified|
19928|Whitewater Volcanics|is intruded by|2394|Bow River Granite||
31018|Tozer Formation|underlies|31019|Bradley Basalt|conformity|
36851|Woodbrook Formation|overlies|31019|Bradley Basalt|conformity|
4597|Coonabildie Formation|underlies|2511|Brassey Range Formation|not specified|
40749|Oldham Sandstone|underlies|2511|Brassey Range Formation|unconformity|
26904|Spearhole Formation|overlies|2511|Brassey Range Formation|not specified|
3558|Capricorn Group|underlies|27346|Bresnahan Group|unconformity|
34906|Edmund Group|overlies|27346|Bresnahan Group|unconformity|
29294|Mount Minnie Group|underlies|27346|Bresnahan Group|not specified|
20715|Wyloo Group|underlies|27346|Bresnahan Group|unconformity|
27160|Gorge Creek Group|is intruded by|33103|Bridget Suite||
12410|Mosquito Creek Formation|is intruded by|33103|Bridget Suite||
12546|Mount Bruce Supergroup|is intruded by|33103|Bridget Suite||
19508|Warrawoona Group|is intruded by|33103|Bridget Suite||
25355|Nullarbor Limestone|underlies|2543|Bridgewater Formation|not specified|
28358|Becher Sand|overlies|2550|Bridport Calcilutite|not specified|
4558|Cooloongup Sand|underlies|2550|Bridport Calcilutite|unconformity|
26273|Leschenault Formation|underlies|2550|Bridport Calcilutite|conformity|
17719|Tamala Limestone|underlies|2550|Bridport Calcilutite|unconformity|
5507|Dingo Claystone|overlies|25810|Brigadier Formation|conformity|
13466|Mungaroo Formation|underlies|25810|Brigadier Formation|conformity|
27215|North Rankin Formation|overlies|25810|Brigadier Formation|not specified|
28210|Colalura Sandstone|underlies|2572|Bringo Shale|conformity|
14108|Newmarracarra Limestone|overlies|2572|Bringo Shale|not specified|
26476|Choorun Formation|overlies|2592|Broadhurst Formation|conformity|
26490|Coolbro Sandstone|underlies|2592|Broadhurst Formation|conformity|
8799|Isdell Formation|overlies|2592|Broadhurst Formation|unconformity|
12926|Mount McRae Shale|underlies|2602|Brockman Iron Formation|conformity|
27207|Mount Sylvia Formation|underlies|2602|Brockman Iron Formation|not specified|
25961|Jarlemai Siltstone|underlies|2645|Broome Sandstone|unconformity|
10360|Leveque Sandstone|overlies|2645|Broome Sandstone|not specified|
