Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
29530|Carrabear Formation|underlies|29529|Bugwah Formation|not specified|
29532|Marra Creek Formation|overlies|29529|Bugwah Formation|not specified|
77320|Bonshaw Member|underlies|77321|Bukkulla Member||
26350|Archerfield Sandstone|overlies|27351|Bulga Formation|not specified|
26561|Foybrook Formation|underlies|27351|Bulga Formation|not specified|
26973|Vane Subgroup|underlies|27351|Bulga Formation|not specified|
23439|Bundycoola Formation|overlies|2869|Bulgoo Formation|unconformity|
11724|Merrimerriwa Formation|underlies|2869|Bulgoo Formation|not specified|
3284|Cadna-owie Formation|underlies|2891|Bulldog Shale|conformity|
26493|Coorikiana Sandstone|overlies|2891|Bulldog Shale|conformity|
14592|Oodnadatta Formation|overlies|2891|Bulldog Shale||
19323|Wallumbilla Formation|is equivalent to|2891|Bulldog Shale||
34000|Loddon Sandstone|underlies|2904|Bulli Coal|not specified|
13874|Narrabeen Group|overlies|2904|Bulli Coal|not specified|
4981|Cuga Burga Volcanics|overlies|2926|Bulls Camp Volcanics|not specified|
