Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
3744|Casterton Formation|underlies|6363|Eumeralla Formation|unconformity|
4874|Crayfish Subgroup|underlies|6363|Eumeralla Formation|unconformity|
73494|Murraduc Basalt|overlies|6363|Eumeralla Formation|unconformity|
41179|Nangeela Formation|underlies|6363|Eumeralla Formation|not specified|
16036|Renmark Group|overlies|6363|Eumeralla Formation|not specified|
16826|Sherbrook Group|overlies|6363|Eumeralla Formation|unconformity|
19163|Waarre Formation|overlies|6363|Eumeralla Formation|not specified|
19406|Wangerrip Group|underlies|6363|Eumeralla Formation||
20219|Windermere Sandstone Member|underlies|6363|Eumeralla Formation|conformity|
73284|Crayfish Supersequence|underlies|73285|Eumeralla Supersequence|unconformity|
73296|Shipwreck Supersequence|overlies|73285|Eumeralla Supersequence|unconformity|Upper bounding surface is a major basinward unconformity
38291|Newer Volcanic Group|is equivalent to|76925|Euroa Volcanic Group||
17440|Strzelecki Group|overlies|34014|Exalt Member|not specified|
21462|Carson Creek Ignimbrite|underlies|30548|Fairy Sandstone|conformity|
21818|Frying Pan Creek Ignimbrite|overlies|30548|Fairy Sandstone|not specified|
22295|McRaes Ignimbrite|overlies|30548|Fairy Sandstone|conformity|
27441|Kalorama Rhyodacite|underlies|6619|Ferny Creek Rhyodacite|not specified|
27895|Silvan Granodiorite|overlies|6619|Ferny Creek Rhyodacite|not specified|
11187|Mannum Formation|underlies|31518|Finniss Formation|conformity|
28285|Coode Island Silt|overlies|6691|Fishermens Bend Silt|not specified|
1415|Belfast Mudstone|overlies|6733|Flaxman Formation|conformity|
19163|Waarre Formation|underlies|6733|Flaxman Formation|conformity|
25939|Gurnard Formation|overlies|24985|Flounder Formation||
10217|Latrobe Group|underlies|24985|Flounder Formation||
18729|Turrum Formation|overlies|24985|Flounder Formation|not specified|
23698|Killingworth Formation|overlies|6779|Flowerdale Member|not specified|
30558|Johnson Mudstone|overlies|37552|Fluke Knob Ignimbrite|not specified|
23217|Windarra Formation|underlies|37552|Fluke Knob Ignimbrite|not specified|
26184|Truro Volcanics|overlies|6822|Fork Tree Limestone|not specified|
2754|Buchan Group|overlies|21818|Frying Pan Creek Ignimbrite|unconformity|
16542|Saint Kilda Formation|overlies|24637|Fulham Sand|not specified|
76919|Thorpdale Volcanic Group|is equivalent to|76929|Fumina Basalt||
27329|Batesford Limestone|underlies|6937|Fyansford Formation|not specified|
1832|Black Rock Sandstone|overlies|6937|Fyansford Formation|unconformity|
3162|Burrungule Member|underlies|6976|Gambier Limestone|disconformity|
6337|Ettrick Formation|underlies|6976|Gambier Limestone|not specified|
7107|Gellibrand Marl|underlies|6976|Gambier Limestone||
8311|Heytesbury Group|overlies|6976|Gambier Limestone|not specified|
11187|Mannum Formation|overlies|6976|Gambier Limestone|not specified|
30430|Thermopylae Conglomerate|underlies|34782|Gariwerd Sandstone|not specified|
30431|Watgania Gap Sandstone|overlies|34782|Gariwerd Sandstone|not specified|
30448|Nigretta Ignimbrite|underlies|30449|Gatum Ignimbrite|not specified|
74868|Mystic Park Formation|is equivalent to|7090|Geera Clay||
14553|Olney Formation|underlies|7090|Geera Clay|conformity|
27329|Batesford Limestone|underlies|7107|Gellibrand Marl||
