genus,species,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Myodelthyrium,dickinsi,295.000,279.500,18,1,0.5000
Nambuccalinus,bourkei,298.900,295.000,6,0,NaN
Neochonetes,afanasyevae,272.500,268.000,7,3,1.0000
Neochonetes,cockbaini,290.100,279.500,4,2,0.6547
Neochonetes,hardmani,259.000,254.000,1,1,0.0377
Neochonetes,hockingi,290.100,279.500,1,1,0.5143
Neochonetes,magnus,290.100,279.500,2,1,0.0889
Neochonetes,nalbiaensis,279.500,272.500,2,2,0.7638
Neochonetes,obrieni,295.000,290.100,3,0,NaN
Neochonetes,pratti,295.000,272.500,38,6,0.5308
Neochonetes,robustus,295.000,279.500,3,3,0.6586
Neochonetes,sp.,290.100,254.000,3,1,1.0000
Neochonetes,tenuicapillatus,290.100,272.500,12,11,0.9050
Neospirifer,amplus,290.100,272.500,9,6,0.4368
Neospirifer,campbelli,326.400,318.100,8,0,NaN
Neospirifer,concentricus,279.500,272.500,4,4,0.0728
Neospirifer,foordi,295.000,290.100,2,2,0.7071
Neospirifer,grandis,265.000,254.000,8,4,0.1138
Neospirifer,moosakhailensis,295.000,272.500,3,0,NaN
Neospirifer,pristinus,318.100,306.950,1,0,NaN
Neospirifer,senilis,326.400,306.950,2,0,NaN
Neospirifer,sp.,326.400,254.000,10,2,0.1336
Neospirifer,"sp. A",295.000,290.100,1,1,1.0000
Neospirifer,"sp. B",290.100,279.500,1,1,0.2000
Neospirifer,spp.,268.000,265.000,1,0,NaN
Neospirifer,striatus,295.000,290.100,1,0,NaN
Neotornquistia,tropicalis,279.500,272.500,1,1,0.5000
Nothalosina,voiseyi,265.000,259.000,4,0,NaN
Notolosia,dickinsi,259.000,254.000,1,1,0.3208
Notolosia,millyiti,259.000,254.000,2,1,0.7143
Notospirifer,darwini,290.100,265.000,12,0,NaN
Notospirifer,extensus,290.100,279.500,5,0,NaN
Notospirifer,gentilis,279.500,272.500,4,1,1.0000
Notospirifer,microstriatus,272.500,268.000,1,1,0.0082
Notospirifer,minutus,272.500,259.000,19,2,0.0217
Notospirifer,paraextensus,290.100,279.500,2,2,0.0088
Notospirifer,sp.,290.100,272.500,3,0,NaN
Notostrophia,alta,290.100,279.500,2,2,0.1237
Notostrophia,bifurcata,290.100,279.500,7,6,0.0580
Notostrophia,sp.,290.100,279.500,3,3,0.0169
Occidalia,mingenewensis,290.100,279.500,1,1,0.0714
Occidalia,shahi,290.100,279.500,1,1,0.0667
Orbiculoidea,rotularia,290.100,279.500,3,3,0.0256
Orbiculoidea,sp.,360.700,326.400,3,0,NaN
Orbiculoidea,subcircularis,326.400,318.100,1,0,NaN
Orthis,spinigera,339.400,336.000,1,0,NaN
Orthotetes,australis,360.700,326.400,20,0,NaN
Orthotetes,crenistria,295.000,272.500,3,0,NaN
Orthotetes,guppyi,290.100,268.000,11,6,0.2365
Ovatia,sp.,345.300,326.400,1,0,NaN
Papulinella,hillae,290.100,279.500,17,6,0.0265
Paucispinauria,concava,279.500,268.000,28,9,0.1929
Paucispinauria,geniculata,290.100,279.500,18,15,0.0456
Paucispinauria,paucispinosa,279.500,268.000,13,3,0.3409
Paucispinauria,solida,272.500,259.000,58,0,NaN
Permasyrinx,procera,295.000,268.000,19,7,0.0283
Permasyrinx,prolonga,279.500,272.500,2,0,NaN
Permasyrinx,sp.,279.500,272.500,1,1,0.0036
Permasyrinx,subelongata,290.100,279.500,7,7,0.0327
Permasyrinx,transversa,290.100,279.500,1,1,0.1667
Phricodothyris,campbelli,360.700,345.300,1,1,0.0134
Phricodothyris,occidentalis,295.000,290.100,4,2,0.1562
Phricodothyris,sp.,360.700,353.800,2,1,0.0536
Plekonella,acuta,268.000,259.000,7,3,0.0230
Plekonella,rara,290.100,279.500,2,2,0.0319
Plekonella,southlandensis,265.000,259.000,2,1,0.0185
Plekonella,sp.,290.100,279.500,6,1,0.0122
Plekonina,spissatella,290.100,279.500,2,2,0.0113
Pleuropugnoides,"sp. B",345.300,326.400,20,0,NaN
