taxon_name	taxon	sub	size	int_midpoint
Lunulicardia	Biv	nonHet	73	3.09
Lutraria	Biv	Het	168	3.09
Lyonsia	Biv	nonHet	57	3.09
Macaliopsis	Biv	Het	40.39	3.09
Macoma	Biv	Het	33.275	3.09
Macomona	Biv	Het	85.4	3.09
Macoploma	Biv	Het	61.56666667	3.09
Macrocallista	Biv	nonHet	188	3.09
Mactra	Biv	Het	126	3.09
Mactromeris	Biv	Het	167	3.09
Mactrotoma	Biv	nonHet	118	3.09
Manupecten	Biv	nonHet	86.5	3.09
Margaritaria	Biv	nonHet	76.78	3.09
Martesia	Biv	Het	45.23333333	3.09
Megapitaria	Biv	nonHet	129.7	3.09
Megaxinus	Biv	Het	20.2625	3.09
Melliteryx	Biv	nonHet	8.28125	3.09
Mercenaria	Biv	nonHet	168	3.09
Meretrix	Biv	nonHet	138.9	3.09
Merisca	Biv	Het	40.86	3.09
Mesodesma	Biv	nonHet	100	3.09
Mesopleura	Biv	Het	103	3.09
Microcardium	Biv	Het	26.5	3.09
Mimachlamys	Biv	nonHet	230	3.09
Mizuhopecten	Biv	nonHet	214	3.09
Modiolula	Biv	nonHet	33.47	3.09
Modiolus	Biv	nonHet	213	3.09
Moerella	Biv	Het	27.41	3.09
Monia	Biv	nonHet	128.4	3.09
Montacuta	Biv	nonHet	3.3925	3.09
Mulinia	Biv	nonHet	78	3.09
Musculus	Biv	nonHet	80	3.09
Mya	Biv	Het	200	3.09
Myadora	Biv	nonHet	46	3.09
Myochama	Biv	nonHet	30	3.09
Myrtea	Biv	Het	25.37142857	3.09
Mysella	Biv	Het	4.14375	3.09
Mytilopsis	Biv	Het	38	3.09
Mytilus	Biv	nonHet	258	3.09
Nemocardium	Biv	Het	81.5	3.09
Neopycnodonte	Biv	nonHet	80	3.09
Nodipecten	Biv	nonHet	226.5	3.09
Noetia	Biv	nonHet	80	3.09
Notocallista	Biv	nonHet	80	3.09
Notocorbula	Biv	Het	28	3.09
Nucinella	Biv	nonHet	25	3.09
